Software,RP Name,Software Type,Software Class,Research Area,Research Discipline,Software Description,Software's Web Page,Software Documentation/Link,RP Software Documentation
valgrind,"Stampede-2, Anvil, KyRIC, Rockfish",,Debugging and profiler,,,"Valgrind is a powerful instrumentation framework for building dynamic analysis tools that can detect memory errors, thread race conditions, and other issues in software. It provides a suite of tools that help developers improve the quality, reliability, and security of their programs by identifying and diagnosing various runtime issues.",,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Anvil: https://www.rcac.purdue.edu/index.php/knowledge/applications/valgrind"
VASP,"DARWIN, Bridges-2",package,"SImulation, Modeling",Sciences,Chemistry,"The Vienna Ab initio Simulation Package (VASP) is a computer program for atomic scale materials modelling, e.g. electronic structure calculations and quantum-mechanical molecular dynamics, from first principles. Description Source:https://www.vasp.at/info/about/",https://www.vasp.at/,https://www.vasp.at/wiki/index.php/The_VASP_Manual,"DARWIN: https://docs.hpc.udel.edu/software/vasp/vasp ,  Bridges-2: https://www.psc.edu/resources/software/vasp"
VCF2MAF,Bridges-2,,,,,"VCF2MAF is a tool used in bioinformatics to convert VCF (Variant Call Format) files into MAF (Mutation Annotation Format) files. This conversion helps in annotating and evaluating genetic variations and mutations, enabling comprehensive analysis of genomic data.",,,Bridges-2: https://www.psc.edu/resources/software/vcf2maf
vcftools,"Bridges-2, Rockfish",,Bioinformatics,,,"VCFtools is a versatile set of tools for working with Variant Call Format (VCF) files commonly used in genetics and genomics research. It allows researchers to perform various operations on genetic variation data, such as filtering, summarizing, and analyzing genetic variants in VCF format.",,,Bridges-2: https://www.psc.edu/resources/software/vcftools
velocyto,Rockfish,,,,,"Velocyto is a computational tool for the analysis of RNA velocity, which aims to estimate the future state of individual cells in single-cell RNA sequencing data. It provides algorithms for inferring the direction and rate of change in gene expression at the single-cell level, offering insights into cellular dynamics and differentiation.",,,
vim,Rockfish,,Editor,,,"Vim is a highly configurable text editor that is popular for its efficiency and extensibility. It provides a modal editing interface that allows users to navigate and edit text quickly using keyboard shortcuts and powerful features. Vim is widely used for programming, editing configuration files, and various text editing tasks.",,,
VisiData,Bridges-2,,,,,"VisiData is an open-source multitool for data exploration and analysis in the terminal. It provides a versatile and interactive environment for working with tabular data, supporting operations such as filtering, sorting, visualization, and transformation directly in the command line.",,,Bridges-2: https://www.psc.edu/resources/software/visidata
Visit,"OOKAMI, Stampede-2, Delta, Bridges-2",,,,,"Visit is an open-source, interactive parallel visualization and graphical analysis tool used for visualizing scientific data. It is particularly focused on large-scale simulations and post-processing of complex data sets, enabling researchers to analyze and present their data in a visually engaging manner.",,," Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  Bridges-2: https://www.psc.edu/resources/software/visit"
vmd,"Stampede-2, ACES, Rockfish",application,"simulation, modeling, Chemistry",,Chemistry,"VMD is a molecular visualization program for displaying, animating, and analyzing large biomolecular systems using 3-D graphics and built-in scripting. VMD supports computers running MacOS X, Unix, or Windows, is distributed free of charge, and includes source code. Description Source:https://www.ks.uiuc.edu/Research/vmd/",https://www.ks.uiuc.edu/Research/vmd/,https://www.ks.uiuc.edu/Research/vmd/current/docs.html,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/"
Voro++,ACES,,,,,,,,ACES: https://hprc.tamu.edu/software/aces/
vpl,KyRIC,,,,,"VPL (Virtual Programming Lab) is an online platform and learning environment for teaching and practicing programming concepts through interactive coding exercises and assignments. It provides a virtual environment where students can write, compile, and test code, allowing educators to create programming labs and assessments in various programming languages.",,,
vscodeserver,Rockfish,,,,,"VS Code Server is a remote development solution that allows developers to run Visual Studio Code (VS Code) on a remote server or cloud environment. It provides the full VS Code experience through a web browser, enabling users to edit, debug, and manage code remotely while leveraging the power of VS Code's features and extensions.",,,
vtk,"Stampede-2, ACES",,,,,"VTK (Visualization Toolkit) is an open-source software system for 3D computer graphics, image processing, and visualization. It provides a wide range of tools and algorithms for creating and interacting with visualizations of scientific data, making it a versatile platform for researchers, engineers, and developers in various disciplines.",,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/"
VTune,"Stampede-2, KyRIC, ACES, Bridges-2",,Debugging and profiling,,,"VTune Profiler, also known as Intel VTune, is a performance profiling tool developed by Intel. It enables developers to optimize software performance on Intel architecture platforms by providing detailed insights into application behavior, identifying performance bottlenecks, and suggesting optimizations.",,,"Stampede-2: https://tacc.utexas.edu/use-tacc/software-list/ ,  ACES: https://hprc.tamu.edu/software/aces/ ,  Bridges-2: https://www.psc.edu/resources/software/vtune"
wannier90,Rockfish,,,,,Wannier90 is an open-source code (released under GPLv2) for generating maximally-localized Wannier functions and using them to compute advanced electronic properties of materials with high efficiency and accuracy.,,,
Wayland,ACES,,,,,"Wayland is a protocol for a compositor to talk to its clients and a library for the reference implementation of that protocol. It serves as an alternative to the X Window System, providing a simpler and more efficient approach to handling graphical environments in Linux and Unix systems.",,,ACES: https://hprc.tamu.edu/software/aces/
WebProxy,ACES,,,,,"WebProxy is a tool or service that acts as an intermediary between a client and the internet to provide functionalities such as web content filtering, caching, and increased privacy and security. It can intercept and filter web requests, block access to certain sites, and improve network performance.",,,ACES: https://hprc.tamu.edu/software/aces/
westpa,Delta,,,,,WESTPA (Weighted Ensemble Simulation Toolkit with Parallelization and Analysis) is a software package designed for performing weighted ensemble simulations in the field of computational chemistry and biophysics. It enables researchers to explore complex molecular processes by parallelizing simulations and analyzing a diverse range of system trajectories.,,,
WIEN2k,Bridges-2,package,,,,"The program package WIEN2k allows to perform electronic structure calculations of solids using density functional theory (DFT). It is based on the full-potential (linearized) augmented plane-wave ((L)APW) + local orbitals (lo) method, one among the most accurate schemes for band structure calculations. Description Source:http://www.wien2k.at/",http://www.wien2k.at/,http://www.wien2k.at/reg_user/textbooks/usersguide.pdf,Bridges-2: https://www.psc.edu/resources/software/wien2k
WRF,"DARWIN, ACES",application,"Climate//Weather, Simulation",,,"The Weather Research and Forecasting (WRF) Model represents a cutting-edge mesoscale system for numerical weather prediction, designed to serve both atmospheric research and practical forecasting needs. Description Source:https://www.mmm.ucar.edu/models/wrf",https://www.mmm.ucar.edu/models/wrf,https://www2.mmm.ucar.edu/wrf/users/docs/user_guide_v4/contents.html,"DARWIN: https://docs.hpc.udel.edu/software/wrf/wrf ,  ACES: https://hprc.tamu.edu/software/aces/"
wxWidgets,ACES,,,,,"wxWidgets is a C++ library that allows developers to create native applications with a single codebase that can run on various platforms, including Windows, macOS, and Linux. It provides a set of GUI widgets and tools for building desktop applications with a consistent look and feel across different operating systems.",,,ACES: https://hprc.tamu.edu/software/aces/
X11,"ACES, Rockfish",,,,,"X11, also known as the X Window System, is a windowing system software used in Unix-like operating systems to provide a graphical user interface. It defines a protocol for client-server communication to render graphics and manage windows, allowing applications to display graphical elements on the screen.",,,ACES: https://hprc.tamu.edu/software/aces/
x264,ACES,,,,,"x264 is an open-source software library for encoding video streams into the H.264/MPEG-4 AVC format. It provides a highly efficient and high-quality encoding solution widely used in video compression, streaming, and multimedia applications. x264 offers advanced encoding parameters for optimizing compression and video quality.",,,ACES: https://hprc.tamu.edu/software/aces/
x265,ACES,,,,,"x265 is an open-source HEVC (High Efficiency Video Coding) encoder that enables efficient video compression for high-quality, high-resolution video content. It provides advanced encoding features and optimizations for achieving significant bitrate reduction while maintaining visual quality, making it suitable for various multimedia applications.",,,ACES: https://hprc.tamu.edu/software/aces/
